Date,Open,High,Low,Close,Adj Close,Volume
2014-11-04,21.370001,21.370001,21.370001,21.370001,18.744461,0
2014-11-05,21.530001,21.530001,21.530001,21.530001,18.884800,0
2014-11-06,21.570000,21.570000,21.570000,21.570000,18.919882,0
2014-11-07,21.610001,21.610001,21.610001,21.610001,18.954973,0
2014-11-10,21.709999,21.709999,21.709999,21.709999,19.042685,0
2014-11-11,21.709999,21.709999,21.709999,21.709999,19.042685,0
2014-11-12,21.730000,21.730000,21.730000,21.730000,19.060225,0
2014-11-13,21.760000,21.760000,21.760000,21.760000,19.086542,0
2014-11-14,21.730000,21.730000,21.730000,21.730000,19.060225,0
2014-11-17,21.740000,21.740000,21.740000,21.740000,19.068995,0
2014-11-18,21.870001,21.870001,21.870001,21.870001,19.183027,0
2014-11-19,21.910000,21.910000,21.910000,21.910000,19.218111,0
2014-11-20,21.950001,21.950001,21.950001,21.950001,19.253199,0
2014-11-21,22.110001,22.110001,22.110001,22.110001,19.393536,0
2014-11-24,22.139999,22.139999,22.139999,22.139999,19.419851,0
2014-11-25,22.120001,22.120001,22.120001,22.120001,19.402309,0
2014-11-26,22.160000,22.160000,22.160000,22.160000,19.437393,0
2014-11-28,22.110001,22.110001,22.110001,22.110001,19.393536,0
2014-12-01,21.969999,21.969999,21.969999,21.969999,19.270739,0
2014-12-02,22.129999,22.129999,22.129999,22.129999,19.411079,0
2014-12-03,22.240000,22.240000,22.240000,22.240000,19.507570,0
2014-12-04,22.190001,22.190001,22.190001,22.190001,19.463705,0
2014-12-05,22.219999,22.219999,22.219999,22.219999,19.490021,0
2014-12-08,22.059999,22.059999,22.059999,22.059999,19.349678,0
2014-12-09,22.049999,22.049999,22.049999,22.049999,19.340912,0
2014-12-10,21.690001,21.690001,21.690001,21.690001,19.025143,0
2014-12-11,21.830000,21.830000,21.830000,21.830000,19.147938,0
2014-12-12,21.469999,21.469999,21.469999,21.469999,18.832169,0
2014-12-15,21.389999,21.389999,21.389999,21.389999,18.761999,0
2014-12-16,21.299999,21.299999,21.299999,21.299999,18.683056,0
