timestamp,open,high,low,close,adjusted close,volume,dividend amount
2016-03-24,110.0600,110.2900,109.8300,110.1100,96.8843,9906826,0.0000
2016-03-18,109.4900,110.2900,109.2863,110.1700,96.9371,11847816,0.0000
2016-03-11,109.3900,109.8300,109.2100,109.4200,96.2772,11170007,0.0000
2016-03-04,109.9400,110.1000,109.2800,109.3800,96.2420,18397143,0.2205
2016-02-26,109.7700,110.3200,109.5200,109.9600,96.5579,11637263,0.0000
2016-02-19,109.5400,109.8500,109.2200,109.7900,96.4087,9926444,0.0000
2016-02-12,109.5900,110.4990,109.5000,109.7700,96.3911,14058533,0.0000
2016-02-05,109.1000,109.6400,108.8415,109.3200,95.9959,17083609,0.2280
2016-01-29,108.9500,109.4800,108.7200,109.3500,95.8218,18558055,0.0000
2016-01-22,108.8500,109.1825,108.5850,108.8400,95.3749,19074546,0.0000
2016-01-15,108.3900,109.1200,108.3400,108.9300,95.4538,17822022,0.0000
2016-01-08,108.0900,108.7100,107.8700,108.6600,95.2172,15826059,0.0000
2015-12-31,108.0300,108.1300,107.6000,108.0100,94.6476,13968582,0.0000
2015-12-24,108.4900,108.5400,107.9200,108.0100,94.6476,12589511,0.2223
2015-12-18,108.5300,108.5800,107.9111,108.3800,94.7767,18668864,0.0000
2015-12-11,108.3000,108.8600,108.2100,108.6900,95.0478,11569484,0.0000
2015-12-04,108.8300,108.8700,107.8100,108.2400,94.6543,15935948,0.3699
2015-11-27,108.6500,108.8700,108.5700,108.7700,94.7956,5426529,0.0000
2015-11-20,108.6300,108.9000,108.4160,108.6200,94.6648,14006526,0.0000
2015-11-13,108.0600,108.5900,108.0400,108.5500,94.6038,26912581,0.0000
2015-11-06,109.0800,109.1900,108.1900,108.2500,94.3424,18640682,0.2146
2015-10-30,109.8500,110.0500,109.1300,109.4500,95.2008,18134644,0.0000
2015-10-23,109.7800,110.0500,109.5500,109.7500,95.4617,9132184,0.0000
2015-10-16,109.4800,110.0500,109.3300,109.7700,95.4791,10355765,0.0000
2015-10-09,109.6300,109.7000,109.2423,109.3300,95.0964,16875704,0.0000
2015-10-02,109.1900,110.1500,109.1100,109.7900,95.4965,14340793,0.2051
2015-09-25,109.1700,109.5100,108.8800,109.1100,94.7276,9858154,0.0000
2015-09-18,109.1800,109.3900,108.4000,109.2800,94.8752,11360784,0.0000
2015-09-11,108.9600,109.1700,108.7022,109.0600,94.6842,9587777,0.0000
